"{'rank': '1', 'name': 'Bitcoin', 'symbol': 'BTC', 'market_cap': ['$145,023,134,135', None], 'price': ['$8599.92', 8599.92], 'circulating_supply': ['16,863,312', None], '_24hr_volume': ['$5,688,470,000', None], '_1hr_percent_volume': ['-0.05%', -0.05], '_24hr_percent_volume': ['-3.62%', -3.62], '_7day_percent_volume': ['14.37%', 14.37]}"
"{'rank': '2', 'name': 'Ethereum', 'symbol': 'ETH', 'market_cap': ['$82,400,639,954', None], 'price': ['$844.28', 844.28], 'circulating_supply': ['97,598,827', None], '_24hr_volume': ['$2,078,220,000', None], '_1hr_percent_volume': ['0.15%', 0.15], '_24hr_percent_volume': ['-2.81%', -2.81], '_7day_percent_volume': ['11.16%', 11.16]}"
"{'rank': '3', 'name': 'Ripple', 'symbol': 'XRP', 'market_cap': ['$40,026,576,187', None], 'price': ['$1.03', 1.03], 'circulating_supply': ['39,009,215,838', None], '_24hr_volume': ['$917,574,000', None], '_1hr_percent_volume': ['0.00%', 0.0], '_24hr_percent_volume': ['-5.07%', -5.07], '_7day_percent_volume': ['37.76%', 37.76]}"
"{'rank': '4', 'name': 'Bitcoin Cash', 'symbol': 'BCH', 'market_cap': ['$20,854,283,245', None], 'price': ['$1229.18', 1229.18], 'circulating_supply': ['16,966,013', None], '_24hr_volume': ['$440,815,000', None], '_1hr_percent_volume': ['-0.21%', -0.21], '_24hr_percent_volume': ['-4.32%', -4.32], '_7day_percent_volume': ['31.01%', 31.01]}"
"{'rank': '5', 'name': 'Cardano', 'symbol': 'ADA', 'market_cap': ['$9,690,657,447', None], 'price': ['$0.373766', 0.373766], 'circulating_supply': ['25,927,070,538', None], '_24hr_volume': ['$225,687,000', None], '_1hr_percent_volume': ['0.38%', 0.38], '_24hr_percent_volume': ['-2.66%', -2.66], '_7day_percent_volume': ['7.44%', 7.44]}"
"{'rank': '6', 'name': 'Litecoin', 'symbol': 'LTC', 'market_cap': ['$8,809,567,975', None], 'price': ['$159.58', 159.58], 'circulating_supply': ['55,205,058', None], '_24hr_volume': ['$484,085,000', None], '_1hr_percent_volume': ['0.33%', 0.33], '_24hr_percent_volume': ['-1.31%', -1.31], '_7day_percent_volume': ['15.25%', 15.25]}"
"{'rank': '7', 'name': 'Stellar', 'symbol': 'XLM', 'market_cap': ['$7,554,986,188', None], 'price': ['$0.409872', 0.409872], 'circulating_supply': ['18,432,550,133', None], '_24hr_volume': ['$196,575,000', None], '_1hr_percent_volume': ['-1.69%', -1.69], '_24hr_percent_volume': ['3.40%', 3.4], '_7day_percent_volume': ['15.91%', 15.91]}"
"{'rank': '8', 'name': 'NEO', 'symbol': 'NEO', 'market_cap': ['$7,206,160,000', None], 'price': ['$110.86', 110.86], 'circulating_supply': ['65,000,000', None], '_24hr_volume': ['$176,091,000', None], '_1hr_percent_volume': ['-0.13%', -0.13], '_24hr_percent_volume': ['-2.68%', -2.68], '_7day_percent_volume': ['9.78%', 9.78]}"
"{'rank': '9', 'name': 'IOTA', 'symbol': 'MIOTA', 'market_cap': ['$5,052,463,377', None], 'price': ['$1.82', 1.82], 'circulating_supply': ['2,779,530,283', None], '_24hr_volume': ['$30,148,800', None], '_1hr_percent_volume': ['1.08%', 1.08], '_24hr_percent_volume': ['-2.43%', -2.43], '_7day_percent_volume': ['13.99%', 13.99]}"
"{'rank': '10', 'name': 'NEM', 'symbol': 'XEM', 'market_cap': ['$4,787,279,999', None], 'price': ['$0.531920', 0.53192], 'circulating_supply': ['8,999,999,999', None], '_24hr_volume': ['$36,174,000', None], '_1hr_percent_volume': ['0.63%', 0.63], '_24hr_percent_volume': ['-4.96%', -4.96], '_7day_percent_volume': ['-5.02%', -5.02]}"
